Observation;N_Sp;Specie;Germination response ;Fruit type;Seed dispersal mechanism ;Seed storage behavior;Seed dormancy;Ecological guild of the species;Fruit width (cm) ;Fruit length (cm);Seed mass (g);Seed length (cm) ;Seed width (cm)
1;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.07;1.2;0.0746;0.71;0.85
2;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.88;1.15;0.0746;0.71;0.85
3;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.88;1.25;0.0746;0.71;0.85
4;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.03;1.5;0.0746;0.71;0.85
5;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.15;1.59;0.0746;0.71;0.85
6;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.83;0.68;0.0746;0.71;0.85
7;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.7;0.83;0.0746;0.71;0.85
8;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.75;0.93;0.0746;0.71;0.85
9;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.81;0.87;0.0746;0.71;0.85
10;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.85;0.85;0.0746;0.71;0.85
11;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.68;1.02;0.0746;0.71;0.85
12;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.67;0.69;0.0746;0.71;0.85
13;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.54;0.8;0.0746;0.71;0.85
14;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.75;0.7;0.0746;0.71;0.85
15;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.66;0.0746;0.71;0.85
16;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.52;0.82;0.0746;0.71;0.85
17;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.49;0.74;0.0746;0.71;0.85
18;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.52;0.63;0.0746;0.71;0.85
19;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;0.49;0.0746;0.71;0.85
20;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.68;0.0746;0.71;0.85
21;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.55;0.69;0.0746;0.71;0.85
22;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.66;0.0746;0.71;0.85
23;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.69;0.0746;0.71;0.85
24;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.78;0.0746;0.71;0.85
25;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.69;0.65;0.0746;0.71;0.85
26;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.76;0.63;0.0746;0.71;0.85
27;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.69;0.66;0.0746;0.71;0.85
28;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.51;0.0746;0.71;0.85
29;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.64;0.53;0.0746;0.71;0.85
30;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.3;0.48;0.0746;0.71;0.85
31;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.32;0.61;0.0746;0.71;0.85
32;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.29;0.61;0.0746;0.71;0.85
33;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.44;0.56;0.0746;0.71;0.85
34;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.36;0.88;0.0746;0.71;0.85
35;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.3;0.83;0.0746;0.71;0.85
36;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.31;0.71;0.0746;0.71;0.85
37;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.66;0.79;0.0746;0.71;0.85
38;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.75;0.0746;0.71;0.85
39;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.77;0.0746;0.71;0.85
40;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.62;0.77;0.0746;0.71;0.85
41;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.62;0.71;0.0746;0.71;0.85
42;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.71;0.77;0.0746;0.71;0.85
43;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.71;0.82;0.0746;0.71;0.85
44;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.58;0.82;0.0746;0.71;0.85
45;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;0.81;0.0746;0.71;0.85
46;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.65;0.87;0.0746;0.71;0.85
